timestamp,machine_id,temperature,pressure,vibration,flow_rate,humidity,failure
2024-01-01 00:00:00,PUMP_1,64.59,41.25,1.99,63.37,32.5,0
2024-01-01 01:00:00,PUMP_1,71.48,33.67,0.86,69.53,31.41,0
2024-01-01 02:00:00,PUMP_1,78.05,43.96,0.5,79.77,45.44,0
2024-01-01 03:00:00,PUMP_1,75.29,28.12,0.56,65.74,40.0,0
2024-01-01 04:00:00,PUMP_1,61.17,44.55,1.08,52.72,45.46,0
2024-01-01 05:00:00,PUMP_1,69.56,44.71,1.67,75.8,47.01,0
2024-01-01 06:00:00,PUMP_1,71.26,28.23,2.86,66.9,39.64,0
2024-01-01 07:00:00,PUMP_1,60.4,31.93,1.1,70.5,45.25,0
2024-01-01 08:00:00,PUMP_1,80.83,30.95,1.48,55.47,48.88,0
2024-01-01 09:00:00,PUMP_1,70.63,31.54,1.92,50.94,51.06,0
2024-01-01 10:00:00,PUMP_1,127.99,74.88,14.41,25.91,81.53,0
2024-01-01 11:00:00,PUMP_1,132.82,78.02,14.69,27.67,89.95,1
2024-01-01 17:00:00,PUMP_1,74.67,44.41,2.02,58.28,37.41,0
2024-01-01 18:00:00,PUMP_1,64.13,28.27,1.56,61.85,37.34,0
2024-01-01 19:00:00,PUMP_1,60.35,31.38,2.28,73.71,45.15,0
2024-01-01 20:00:00,PUMP_1,83.16,39.07,2.79,75.5,41.24,0
2024-01-01 21:00:00,PUMP_1,62.39,34.3,2.17,69.98,44.78,0
2024-01-01 22:00:00,PUMP_1,66.87,37.54,1.46,79.15,51.22,0
2024-01-01 23:00:00,PUMP_1,78.04,32.01,1.14,51.21,47.77,0
2024-01-02 00:00:00,PUMP_1,62.77,35.47,1.0,76.87,41.88,0
2024-01-02 01:00:00,PUMP_1,74.08,39.82,0.85,68.13,43.5,0
2024-01-02 02:00:00,PUMP_1,65.08,44.03,2.0,70.84,52.01,0
2024-01-02 03:00:00,PUMP_1,134.97,72.39,7.84,21.85,79.37,0
2024-01-02 04:00:00,PUMP_1,126.66,87.08,9.59,16.83,82.13,1
2024-01-02 10:00:00,PUMP_1,62.75,31.87,1.57,74.54,51.52,0
2024-01-02 11:00:00,PUMP_1,60.17,36.68,1.54,56.66,33.0,0
2024-01-02 12:00:00,PUMP_1,68.44,44.03,1.31,65.56,47.58,0
2024-01-02 13:00:00,PUMP_1,69.09,44.52,2.91,57.55,42.43,0
2024-01-02 14:00:00,PUMP_1,67.52,32.84,0.59,68.29,42.57,0
2024-01-02 15:00:00,PUMP_1,61.29,32.74,2.77,57.19,33.62,0
2024-01-02 16:00:00,PUMP_1,72.24,44.76,1.11,70.16,49.04,0
2024-01-02 17:00:00,PUMP_1,65.94,40.38,1.42,68.97,45.84,0
2024-01-02 18:00:00,PUMP_1,73.39,29.53,2.59,59.62,34.66,0
2024-01-02 19:00:00,PUMP_1,61.02,38.05,2.19,50.5,42.8,0
2024-01-02 20:00:00,PUMP_1,65.66,38.97,0.94,70.73,39.67,0
2024-01-02 21:00:00,PUMP_1,147.47,68.44,9.73,16.7,93.49,0
2024-01-02 22:00:00,PUMP_1,145.09,71.45,12.28,27.26,86.1,1
2024-01-03 04:00:00,PUMP_1,66.52,44.94,2.91,66.75,52.07,0
2024-01-03 05:00:00,PUMP_1,64.72,32.74,2.25,75.4,51.41,0
2024-01-03 06:00:00,PUMP_1,70.11,43.09,2.63,78.07,49.63,0
2024-01-03 07:00:00,PUMP_1,76.72,37.87,1.43,78.2,54.34,0
2024-01-03 08:00:00,PUMP_1,67.1,33.19,1.71,63.45,54.86,0
2024-01-03 09:00:00,PUMP_1,64.4,28.31,1.73,55.36,39.16,0
2024-01-03 10:00:00,PUMP_1,78.6,40.26,1.27,66.28,42.72,0
2024-01-03 11:00:00,PUMP_1,75.91,32.26,1.97,79.37,42.17,0
2024-01-03 12:00:00,PUMP_1,82.65,35.38,1.38,69.35,46.72,0
2024-01-03 13:00:00,PUMP_1,144.57,70.75,10.99,23.58,90.37,0
2024-01-03 14:00:00,PUMP_1,111.74,89.86,10.76,19.19,92.67,1
2024-01-03 20:00:00,PUMP_1,60.39,43.78,1.57,79.0,54.09,0
2024-01-03 21:00:00,PUMP_1,81.33,33.01,1.46,75.53,37.92,0
2024-01-03 22:00:00,PUMP_1,64.24,37.47,2.84,70.88,44.25,0
2024-01-03 23:00:00,PUMP_1,62.43,38.46,2.98,54.2,42.96,0
2024-01-04 00:00:00,PUMP_1,81.93,40.59,2.24,71.07,38.99,0
2024-01-04 01:00:00,PUMP_1,67.34,41.76,2.53,76.01,52.83,0
2024-01-04 02:00:00,PUMP_1,72.78,36.53,2.5,69.5,47.55,0
2024-01-04 03:00:00,PUMP_1,79.89,43.13,1.34,61.27,32.35,0
2024-01-04 04:00:00,PUMP_1,74.46,28.61,1.66,66.28,37.16,0
2024-01-04 05:00:00,PUMP_1,133.63,65.76,7.3,27.34,82.2,0
2024-01-04 06:00:00,PUMP_1,115.08,78.06,13.16,18.24,87.46,1
2024-01-04 12:00:00,PUMP_1,81.05,31.3,1.53,70.99,33.46,0
2024-01-04 13:00:00,PUMP_1,63.32,44.48,2.29,51.23,39.97,0
2024-01-04 14:00:00,PUMP_1,70.84,40.65,1.13,55.53,32.02,0
2024-01-04 15:00:00,PUMP_1,70.71,39.7,0.65,77.46,41.06,0
2024-01-04 16:00:00,PUMP_1,65.99,29.6,0.96,78.04,45.96,0
2024-01-04 17:00:00,PUMP_1,72.92,39.17,1.59,71.9,31.19,0
2024-01-04 18:00:00,PUMP_1,74.15,30.7,0.8,60.26,32.29,0
2024-01-04 19:00:00,PUMP_1,62.35,33.29,2.95,55.26,30.43,0
2024-01-04 20:00:00,PUMP_1,79.08,41.72,1.37,63.94,46.24,0
2024-01-04 21:00:00,PUMP_1,111.92,88.73,14.09,18.91,75.31,0
2024-01-04 22:00:00,PUMP_1,147.34,77.53,11.32,25.26,87.32,1
2024-01-05 04:00:00,PUMP_1,60.66,37.96,2.85,67.26,39.7,0
2024-01-05 05:00:00,PUMP_1,76.08,35.79,1.86,78.24,39.65,0
2024-01-05 06:00:00,PUMP_1,84.03,43.39,0.99,52.08,32.52,0
2024-01-05 07:00:00,PUMP_1,60.46,29.61,2.21,52.14,37.97,0
2024-01-05 08:00:00,PUMP_1,81.12,28.4,2.54,58.46,32.95,0
2024-01-05 09:00:00,PUMP_1,77.42,38.69,2.69,72.05,50.09,0
2024-01-05 10:00:00,PUMP_1,67.05,31.02,2.38,74.21,54.76,0
2024-01-05 11:00:00,PUMP_1,126.5,74.3,13.21,20.11,93.62,0
2024-01-05 12:00:00,PUMP_1,144.34,75.72,13.01,26.32,77.06,1
2024-01-05 18:00:00,PUMP_1,73.36,36.44,1.47,58.93,32.5,0
2024-01-05 19:00:00,PUMP_1,61.34,44.3,2.62,60.65,53.92,0
2024-01-05 20:00:00,PUMP_1,76.92,36.2,1.73,52.5,32.29,0
2024-01-05 21:00:00,PUMP_1,75.06,37.41,1.03,78.39,49.53,0
2024-01-05 22:00:00,PUMP_1,62.84,43.83,2.94,79.88,31.4,0
2024-01-05 23:00:00,PUMP_1,78.43,37.28,2.26,79.06,47.2,0
2024-01-06 00:00:00,PUMP_1,143.48,86.67,13.71,21.39,79.45,0
2024-01-06 01:00:00,PUMP_1,125.87,87.3,8.17,22.7,79.66,1
2024-01-06 07:00:00,PUMP_1,69.27,41.82,2.87,79.58,48.83,0
2024-01-06 08:00:00,PUMP_1,69.41,29.42,2.44,66.75,40.61,0
2024-01-06 09:00:00,PUMP_1,82.66,29.89,1.73,50.34,41.72,0
2024-01-06 10:00:00,PUMP_1,61.41,30.02,0.79,69.48,48.65,0
2024-01-06 11:00:00,PUMP_1,74.58,44.36,1.44,58.57,51.71,0
2024-01-06 12:00:00,PUMP_1,65.59,44.37,0.53,79.1,31.08,0
2024-01-06 13:00:00,PUMP_1,82.28,36.97,2.98,52.21,43.85,0
2024-01-06 14:00:00,PUMP_1,84.23,36.89,2.07,70.87,41.36,0
2024-01-06 15:00:00,PUMP_1,75.69,37.93,2.75,51.36,37.02,0
2024-01-06 16:00:00,PUMP_1,83.76,43.13,1.64,68.6,36.93,0
2024-01-06 17:00:00,PUMP_1,117.52,76.59,9.83,23.75,76.55,0
2024-01-06 18:00:00,PUMP_1,148.98,89.66,12.59,23.04,81.19,1
2024-01-07 00:00:00,PUMP_1,75.07,32.61,0.83,52.29,53.51,0
2024-01-07 01:00:00,PUMP_1,70.42,37.88,2.8,52.48,51.92,0
2024-01-07 02:00:00,PUMP_1,73.79,30.8,1.53,73.33,42.01,0
2024-01-07 03:00:00,PUMP_1,84.63,34.4,2.37,61.79,50.73,0
2024-01-07 04:00:00,PUMP_1,74.23,29.08,0.59,54.02,30.34,0
2024-01-07 05:00:00,PUMP_1,61.88,39.76,1.84,72.5,52.83,0
2024-01-07 06:00:00,PUMP_1,74.63,40.34,2.39,61.34,36.03,0
2024-01-07 07:00:00,PUMP_1,65.13,32.27,1.19,56.22,51.96,0
2024-01-07 08:00:00,PUMP_1,78.92,28.8,1.17,50.67,42.45,0
2024-01-07 09:00:00,PUMP_1,129.05,85.78,9.46,27.25,94.36,0
2024-01-07 10:00:00,PUMP_1,113.54,84.8,11.72,22.2,83.41,1
2024-01-07 16:00:00,PUMP_1,75.51,39.97,1.03,54.09,30.36,0
2024-01-07 17:00:00,PUMP_1,68.76,38.03,1.48,63.12,52.6,0
2024-01-07 18:00:00,PUMP_1,68.71,36.74,2.46,61.9,45.55,0
2024-01-07 19:00:00,PUMP_1,81.56,44.14,0.87,77.8,42.3,0
2024-01-07 20:00:00,PUMP_1,66.46,35.81,2.95,64.78,38.22,0
2024-01-07 21:00:00,PUMP_1,75.84,32.08,0.69,53.87,33.2,0
2024-01-07 22:00:00,PUMP_1,63.8,30.36,2.1,55.46,38.64,0
2024-01-07 23:00:00,PUMP_1,82.42,36.06,2.17,55.17,34.81,0
2024-01-08 00:00:00,PUMP_1,61.02,30.87,1.2,55.31,32.22,0
2024-01-08 01:00:00,PUMP_1,63.02,35.83,1.02,60.93,42.59,0
2024-01-08 02:00:00,PUMP_1,137.62,65.98,13.4,24.42,76.64,0
2024-01-08 03:00:00,PUMP_1,144.94,88.02,7.49,19.15,91.12,1
2024-01-08 09:00:00,PUMP_1,74.93,44.77,1.84,77.72,35.9,0
2024-01-08 10:00:00,PUMP_1,79.0,37.03,2.3,51.87,33.69,0
2024-01-08 11:00:00,PUMP_1,63.33,39.68,2.61,72.49,30.76,0
2024-01-08 12:00:00,PUMP_1,81.68,34.02,1.49,53.15,48.44,0
2024-01-08 13:00:00,PUMP_1,64.56,37.59,2.6,52.68,43.38,0
2024-01-08 14:00:00,PUMP_1,65.83,33.83,1.68,60.65,46.22,0
2024-01-08 15:00:00,PUMP_1,129.18,79.6,12.89,23.37,86.73,0
2024-01-08 16:00:00,PUMP_1,132.58,74.47,9.7,28.49,87.15,1
2024-01-08 22:00:00,PUMP_1,68.9,44.77,2.01,57.12,32.54,0
2024-01-08 23:00:00,PUMP_1,63.82,32.18,0.9,55.6,37.13,0
2024-01-09 00:00:00,PUMP_1,64.33,43.25,0.7,65.74,40.26,0
2024-01-09 01:00:00,PUMP_1,84.56,29.9,1.49,79.08,51.64,0
2024-01-09 02:00:00,PUMP_1,80.43,32.38,0.93,70.06,53.23,0
2024-01-09 03:00:00,PUMP_1,73.92,37.72,1.2,73.08,34.68,0
2024-01-09 04:00:00,PUMP_1,68.09,35.23,1.77,57.27,32.87,0
2024-01-09 05:00:00,PUMP_1,75.27,32.91,1.95,54.63,42.03,0
2024-01-09 06:00:00,PUMP_1,131.3,66.3,9.69,17.02,76.27,0
2024-01-09 07:00:00,PUMP_1,149.6,73.06,13.48,18.82,88.63,1
2024-01-09 13:00:00,PUMP_1,62.92,36.04,2.02,73.83,32.67,0
2024-01-09 14:00:00,PUMP_1,81.27,40.68,1.52,77.99,54.77,0
2024-01-09 15:00:00,PUMP_1,65.13,34.45,2.82,71.65,31.2,0
2024-01-09 16:00:00,PUMP_1,79.54,42.07,2.38,73.99,50.63,0
2024-01-09 17:00:00,PUMP_1,64.66,32.01,2.08,77.24,37.9,0
2024-01-09 18:00:00,PUMP_1,74.71,39.61,1.63,71.41,52.49,0
2024-01-09 19:00:00,PUMP_1,134.96,78.49,10.51,23.66,82.11,0
